prior_id,name,class_id,instance_id,panoptic_label,prior_state,prior_vertices,current_id,current_state,current_vertices,associated,centroid_distance_m,bbox_iou,delta_m,alpha,beta,stationarity_mean,decision,output_state
20,SM_Picture_e,18,42,Instance,Persistent,16092,20,Persistent,16092,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
21,SM_TV_a,27,43,Instance,Persistent,8937,21,Persistent,8937,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
22,SM_Windows_Windows_a,3,44,Background,Persistent,18540,22,Persistent,18540,1,0,1,0,2,1,0.666667,keep_non_instance_state,Persistent
23,SM_Journal_c,16,45,Instance,Persistent,7683,23,Persistent,7683,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
24,SM_Coffee_table_a,9,46,Instance,Persistent,11076,24,Persistent,11076,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
25,SM_Sofa_a,22,47,Instance,Persistent,23637,25,Persistent,23637,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
26,SM_Picture_b,18,52,Instance,Persistent,20190,26,Persistent,20190,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
27,SM_Floor_Lamp_a,15,55,Instance,Persistent,10923,27,Persistent,10923,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
28,SM_Ceiling_a,0,63,Background,New,70056,28,New,70056,1,0,1,0,2,1,0.666667,keep_non_instance_state,New
29,SM_Bed_b,4,82,Instance,Persistent,16356,29,Persistent,16356,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
30,SM_Picture_f,18,87,Instance,Persistent,9270,30,Persistent,9270,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
31,SM_Floor_a,1,95,Background,New,29955,31,New,29955,1,0,1,0,2,1,0.666667,keep_non_instance_state,New
32,SM_Bed_table_a,6,96,Instance,Persistent,8955,32,Persistent,8955,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
33,SM_Office_Chair_base_a,8,97,Instance,Persistent,7797,33,Persistent,7797,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
34,SM_Laptop_a,30,100,Instance,Persistent,10734,34,Persistent,10734,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
35,SM_Stack_of_Books_b,23,104,Instance,Persistent,16230,35,Persistent,16230,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
36,SM_Stack_of_Books_e,23,107,Instance,Persistent,16326,36,Persistent,16326,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
37,SM_Office_Chair_base_a,8,112,Instance,Absent,10011,37,Absent,10011,1,0,1,0,5,1,0.833333,restore_current_supported_prior,Persistent
38,SM_Laptop_a,30,116,Instance,New,11208,38,New,11208,1,0,1,0,5,1,0.833333,keep_current_supported_present,New
39,SM_Table_b,24,117,Instance,New,7359,39,New,7359,1,0,1,0,5,1,0.833333,keep_current_supported_present,New
40,SM_Office_Chair_base_a,8,118,Instance,New,2871,40,New,2871,1,0,1,0,5,1,0.833333,keep_current_supported_present,New
41,SM_Door_b,14,119,Instance,New,21933,41,New,21933,1,0,1,0,5,1,0.833333,keep_current_supported_present,New
42,SM_Bed_table_a,6,120,Instance,New,4374,42,New,4374,1,0,1,0,5,1,0.833333,keep_current_supported_present,New
